linha=1 | nome=Igor | acao=executou o benchmark | valor=1959
linha=1164 | nome=Lucas | acao=fez um experimento | valor=5452
linha=1165 | nome=Vitor | acao=fez um experimento | valor=2538
linha=1166 | nome=Joao | acao=executou o benchmark | valor=2029
linha=1167 | nome=Helena | acao=participou da aula | valor=7125
linha=1168 | nome=Daniela | acao=executou o benchmark | valor=3749
linha=1169 | nome=Sofia | acao=executou o benchmark | valor=7005
linha=1170 | nome=Gabriela | acao=participou da aula | valor=2047
linha=1171 | nome=Gabriela | acao=analisou os resultados | valor=4038
linha=1172 | nome=Eduarda | acao=estudou computacao | valor=3856
linha=1173 | nome=Paulo | acao=fez um experimento | valor=9569
linha=1174 | nome=Felipe | acao=comparou as metricas | valor=3265
linha=1175 | nome=Daniela | acao=comparou as metricas | valor=9903
linha=1176 | nome=Bruno | acao=comparou as metricas | valor=1854
linha=1177 | nome=Helena | acao=participou da aula | valor=8755
linha=1178 | nome=Bruno | acao=executou o benchmark | valor=7131
linha=1179 | nome=Bruno | acao=analisou os resultados | valor=3495
linha=1180 | nome=Ana | acao=analisou os resultados | valor=2588
linha=1181 | nome=Felipe | acao=participou da aula | valor=3236
linha=1182 | nome=Bruno | acao=otimizou o algoritmo | valor=8989
linha=1183 | nome=Sofia | acao=estudou computacao | valor=2000
linha=1184 | nome=Helena | acao=executou o benchmark | valor=8441
linha=1185 | nome=Renata | acao=participou da aula | valor=1947
linha=1186 | nome=Joao | acao=escreveu o relatorio | valor=8895
linha=1187 | nome=Tiago | acao=otimizou o algoritmo | valor=9546
linha=1188 | nome=Igor | acao=fez um experimento | valor=8931
linha=1189 | nome=Otavio | acao=executou o benchmark | valor=4413
linha=1190 | nome=Karen | acao=otimizou o algoritmo | valor=4746
linha=1191 | nome=Daniela | acao=participou da aula | valor=2215
linha=1192 | nome=Ana | acao=participou da aula | valor=2925
linha=1193 | nome=Mariana | acao=executou o benchmark | valor=4536
linha=1194 | nome=Vitor | acao=participou da aula | valor=4763
linha=1195 | nome=Karen | acao=fez um experimento | valor=2298
linha=1196 | nome=Otavio | acao=participou da aula | valor=7778
linha=1197 | nome=Mariana | acao=analisou os resultados | valor=7531
linha=1198 | nome=Carlos | acao=escreveu o relatorio | valor=5851
linha=1199 | nome=Vitor | acao=fez um experimento | valor=2899
linha=1200 | nome=Joao | acao=otimizou o algoritmo | valor=7978
linha=1201 | nome=Igor | acao=analisou os resultados | valor=9203
linha=1202 | nome=Karen | acao=comparou as metricas | valor=1427
linha=1203 | nome=Igor | acao=escreveu o relatorio | valor=8737
linha=1204 | nome=Helena | acao=executou o benchmark | valor=4941
linha=1205 | nome=Bruno | acao=fez um experimento | valor=5065
linha=1206 | nome=Tiago | acao=escreveu o relatorio | valor=8282
linha=1207 | nome=Igor | acao=participou da aula | valor=8857
linha=1208 | nome=Ana | acao=otimizou o algoritmo | valor=3841
linha=1209 | nome=Gabriela | acao=analisou os resultados | valor=9045
linha=1210 | nome=Renata | acao=analisou os resultados | valor=5156
linha=1211 | nome=Renata | acao=comparou as metricas | valor=6524
linha=1212 | nome=Felipe | acao=executou o benchmark | valor=4738
linha=1213 | nome=Tiago | acao=otimizou o algoritmo | valor=2898
linha=1214 | nome=Natalia | acao=fez um experimento | valor=5776
linha=1215 | nome=Paulo | acao=fez um experimento | valor=3189
linha=1216 | nome=Paulo | acao=estudou computacao | valor=4886
linha=1217 | nome=Ana | acao=analisou os resultados | valor=4902
linha=1218 | nome=Karen | acao=escreveu o relatorio | valor=6658
linha=1219 | nome=Helena | acao=estudou computacao | valor=9302
linha=1220 | nome=Carlos | acao=escreveu o relatorio | valor=3273
linha=1221 | nome=Tiago | acao=otimizou o algoritmo | valor=1359
linha=1222 | nome=Natalia | acao=executou o benchmark | valor=3649
linha=1223 | nome=Renata | acao=escreveu o relatorio | valor=5051
linha=1224 | nome=Natalia | acao=analisou os resultados | valor=4805
linha=1225 | nome=Bruno | acao=participou da aula | valor=2672
linha=1226 | nome=Karen | acao=otimizou o algoritmo | valor=3125
linha=1227 | nome=Karen | acao=comparou as metricas | valor=3001
linha=1228 | nome=Daniela | acao=fez um experimento | valor=2012
linha=1229 | nome=Lucas | acao=escreveu o relatorio | valor=5314
linha=1230 | nome=Gabriela | acao=escreveu o relatorio | valor=6465
linha=1231 | nome=Ana | acao=executou o benchmark | valor=9120
linha=1232 | nome=Helena | acao=comparou as metricas | valor=4419
linha=1233 | nome=Karen | acao=fez um experimento | valor=8678
linha=1234 | nome=Renata | acao=executou o benchmark | valor=2521
linha=1235 | nome=Gabriela | acao=comparou as metricas | valor=1747
linha=1236 | nome=Eduarda | acao=participou da aula | valor=8780
linha=1237 | nome=Tiago | acao=escreveu o relatorio | valor=5447
linha=1238 | nome=Ana | acao=estudou computacao | valor=3616
linha=1239 | nome=Helena | acao=comparou as metricas | valor=2097
linha=1240 | nome=Mariana | acao=analisou os resultados | valor=5664
linha=1241 | nome=Carlos | acao=executou o benchmark | valor=9277
linha=1242 | nome=Eduarda | acao=estudou computacao | valor=4280
linha=1243 | nome=Helena | acao=comparou as metricas | valor=4621
linha=1244 | nome=Igor | acao=executou o benchmark | valor=1975
linha=1245 | nome=Daniela | acao=otimizou o algoritmo | valor=8245
linha=1246 | nome=Joao | acao=executou o benchmark | valor=2527
linha=1247 | nome=Daniela | acao=estudou computacao | valor=8985
linha=1248 | nome=Carlos | acao=estudou computacao | valor=8021
linha=1249 | nome=Mariana | acao=participou da aula | valor=1164
linha=1250 | nome=Mariana | acao=estudou computacao | valor=2505
linha=1251 | nome=Eduarda | acao=otimizou o algoritmo | valor=8200
linha=1252 | nome=Lucas | acao=comparou as metricas | valor=9987
linha=1253 | nome=Daniela | acao=fez um experimento | valor=5459
linha=1254 | nome=Paulo | acao=executou o benchmark | valor=2847
linha=1255 | nome=Carlos | acao=executou o benchmark | valor=8937
linha=1256 | nome=Mariana | acao=estudou computacao | valor=6030
linha=1257 | nome=Tiago | acao=comparou as metricas | valor=6741
linha=1258 | nome=Igor | acao=analisou os resultados | valor=1660
linha=1259 | nome=Vitor | acao=otimizou o algoritmo | valor=9559
linha=1260 | nome=Paulo | acao=participou da aula | valor=8800
linha=1261 | nome=Vitor | acao=participou da aula | valor=7341
linha=1262 | nome=Renata | acao=analisou os resultados | valor=5680
linha=1263 | nome=Sofia | acao=escreveu o relatorio | valor=3934
linha=1264 | nome=Natalia | acao=otimizou o algoritmo | valor=3121
linha=1265 | nome=Otavio | acao=comparou as metricas | valor=4987
linha=1266 | nome=Helena | acao=fez um experimento | valor=9219
linha=1267 | nome=Lucas | acao=analisou os resultados | valor=2082
linha=1268 | nome=Daniela | acao=participou da aula | valor=6633
linha=1269 | nome=Igor | acao=comparou as metricas | valor=1622
linha=1270 | nome=Renata | acao=escreveu o relatorio | valor=3519
linha=1271 | nome=Ana | acao=executou o benchmark | valor=4488
linha=1272 | nome=Lucas | acao=analisou os resultados | valor=3349
linha=1273 | nome=Bruno | acao=fez um experimento | valor=5804
linha=1274 | nome=Renata | acao=fez um experimento | valor=9554
linha=1275 | nome=Joao | acao=escreveu o relatorio | valor=7094
linha=1276 | nome=Karen | acao=analisou os resultados | valor=9979
linha=1277 | nome=Daniela | acao=estudou computacao | valor=6212
linha=1278 | nome=Carlos | acao=fez um experimento | valor=6415
linha=1279 | nome=Carlos | acao=otimizou o algoritmo | valor=8159
linha=1280 | nome=Igor | acao=comparou as metricas | valor=8707
linha=1281 | nome=Joao | acao=executou o benchmark | valor=3150
linha=1282 | nome=Otavio | acao=otimizou o algoritmo | valor=1807
linha=1283 | nome=Otavio | acao=participou da aula | valor=6336
linha=1284 | nome=Ana | acao=estudou computacao | valor=2260
linha=1285 | nome=Helena | acao=fez um experimento | valor=2633
linha=1286 | nome=Gabriela | acao=analisou os resultados | valor=8545
linha=1287 | nome=Daniela | acao=participou da aula | valor=6127
linha=1288 | nome=Otavio | acao=escreveu o relatorio | valor=3600
linha=1289 | nome=Igor | acao=escreveu o relatorio | valor=3355
linha=1290 | nome=Vitor | acao=fez um experimento | valor=2147
linha=1291 | nome=Mariana | acao=otimizou o algoritmo | valor=4360
linha=1292 | nome=Karen | acao=otimizou o algoritmo | valor=6808
linha=1293 | nome=Daniela | acao=estudou computacao | valor=9064
linha=1294 | nome=Otavio | acao=comparou as metricas | valor=1721
linha=1295 | nome=Karen | acao=estudou computacao | valor=7597
linha=1296 | nome=Renata | acao=comparou as metricas | valor=6447
linha=1297 | nome=Lucas | acao=estudou computacao | valor=3437
linha=1298 | nome=Lucas | acao=comparou as metricas | valor=1033
linha=1299 | nome=Igor | acao=comparou as metricas | valor=5670
linha=1300 | nome=Mariana | acao=analisou os resultados | valor=2315
linha=1301 | nome=Tiago | acao=analisou os resultados | valor=1237
linha=1302 | nome=Eduarda | acao=executou o benchmark | valor=1758
linha=1303 | nome=Mariana | acao=escreveu o relatorio | valor=7494
linha=1304 | nome=Natalia | acao=estudou computacao | valor=8121
linha=1305 | nome=Eduarda | acao=analisou os resultados | valor=4033
linha=1306 | nome=Karen | acao=participou da aula | valor=4292
linha=1307 | nome=Tiago | acao=otimizou o algoritmo | valor=8235
linha=1308 | nome=Lucas | acao=otimizou o algoritmo | valor=6056
linha=1309 | nome=Vitor | acao=participou da aula | valor=4305
linha=1310 | nome=Daniela | acao=executou o benchmark | valor=2049
linha=1311 | nome=Otavio | acao=otimizou o algoritmo | valor=1141
linha=1312 | nome=Gabriela | acao=executou o benchmark | valor=3925
linha=1313 | nome=Sofia | acao=executou o benchmark | valor=4714
linha=1314 | nome=Joao | acao=comparou as metricas | valor=8973
linha=1315 | nome=Paulo | acao=escreveu o relatorio | valor=9525
linha=1316 | nome=Natalia | acao=analisou os resultados | valor=6548
linha=1317 | nome=Helena | acao=participou da aula | valor=9738
linha=1318 | nome=Mariana | acao=estudou computacao | valor=9410
linha=1319 | nome=Mariana | acao=fez um experimento | valor=2326
linha=1320 | nome=Natalia | acao=estudou computacao | valor=4611
linha=1321 | nome=Tiago | acao=analisou os resultados | valor=2515
linha=1322 | nome=Otavio | acao=estudou computacao | valor=9470
linha=1323 | nome=Sofia | acao=fez um experimento | valor=2840
linha=1324 | nome=Karen | acao=fez um experimento | valor=6362
linha=1325 | nome=Gabriela | acao=estudou computacao | valor=2482
linha=1326 | nome=Mariana | acao=estudou computacao | valor=9505
linha=1327 | nome=Carlos | acao=fez um experimento | valor=9272
linha=1328 | nome=Renata | acao=comparou as metricas | valor=5323
linha=1329 | nome=Joao | acao=participou da aula | valor=5331
linha=1330 | nome=Vitor | acao=participou da aula | valor=1509
linha=1331 | nome=Gabriela | acao=analisou os resultados | valor=7088
linha=1332 | nome=Lucas | acao=analisou os resultados | valor=4294
linha=1333 | nome=Eduarda | acao=estudou computacao | valor=8473
linha=1334 | nome=Mariana | acao=comparou as metricas | valor=3956
linha=1335 | nome=Natalia | acao=otimizou o algoritmo | valor=4477
linha=1336 | nome=Paulo | acao=comparou as metricas | valor=1891
linha=1337 | nome=Felipe | acao=estudou computacao | valor=6508
linha=1338 | nome=Otavio | acao=estudou computacao | valor=7737
linha=1339 | nome=Daniela | acao=analisou os resultados | valor=6339
linha=1340 | nome=Tiago | acao=fez um experimento | valor=5557
linha=1341 | nome=Sofia | acao=estudou computacao | valor=5806
linha=1342 | nome=Otavio | acao=comparou as metricas | valor=1829
linha=1343 | nome=Felipe | acao=fez um experimento | valor=4248
linha=1344 | nome=Karen | acao=executou o benchmark | valor=7370
linha=1345 | nome=Felipe | acao=estudou computacao | valor=2458
linha=1346 | nome=Ana | acao=comparou as metricas | valor=4486
linha=1347 | nome=Vitor | acao=comparou as metricas | valor=2922
linha=1348 | nome=Bruno | acao=comparou as metricas | valor=8153
linha=1349 | nome=Gabriela | acao=otimizou o algoritmo | valor=4483
linha=1350 | nome=Otavio | acao=escreveu o relatorio | valor=1857
linha=1351 | nome=Gabriela | acao=analisou os resultados | valor=4355
linha=1352 | nome=Igor | acao=fez um experimento | valor=2294
linha=1353 | nome=Otavio | acao=comparou as metricas | valor=6694
linha=1354 | nome=Karen | acao=participou da aula | valor=3156
linha=1355 | nome=Ana | acao=executou o benchmark | valor=6446
linha=1356 | nome=Vitor | acao=fez um experimento | valor=5970
linha=1357 | nome=Mariana | acao=participou da aula | valor=3777
linha=1358 | nome=Mariana | acao=otimizou o algoritmo | valor=8632
linha=1359 | nome=Felipe | acao=participou da aula | valor=2669
linha=1360 | nome=Felipe | acao=analisou os resultados | valor=3059
linha=1361 | nome=Tiago | acao=comparou as metricas | valor=6796
linha=1362 | nome=Joao | acao=participou da aula | valor=1254
linha=1363 | nome=Sofia | acao=participou da aula | valor=6902
linha=1364 | nome=Mariana | acao=analisou os resultados | valor=9527
linha=1365 | nome=Helena | acao=analisou os resultados | valor=9948
linha=1366 | nome=Igor | acao=escreveu o relatorio | valor=2503
linha=1367 | nome=Renata | acao=participou da aula | valor=3300
linha=1368 | nome=Lucas | acao=fez um experimento | valor=1360
linha=1369 | nome=Vitor | acao=fez um experimento | valor=5339
linha=1370 | nome=Carlos | acao=comparou as metricas | valor=5676
linha=1371 | nome=Igor | acao=executou o benchmark | valor=7920
linha=1372 | nome=Otavio | acao=executou o benchmark | valor=1709
linha=1373 | nome=Ana | acao=fez um experimento | valor=6328
linha=1374 | nome=Natalia | acao=otimizou o algoritmo | valor=6485
linha=1375 | nome=Mariana | acao=estudou computacao | valor=2326
linha=1376 | nome=Karen | acao=executou o benchmark | valor=9736
linha=1377 | nome=Gabriela | acao=comparou as metricas | valor=6100
linha=1378 | nome=Joao | acao=escreveu o relatorio | valor=7064
linha=1379 | nome=Ana | acao=executou o benchmark | valor=8878
linha=1380 | nome=Felipe | acao=fez um experimento | valor=6914
linha=1381 | nome=Renata | acao=comparou as metricas | valor=3427
linha=1382 | nome=Paulo | acao=analisou os resultados | valor=1061
linha=1383 | nome=Bruno | acao=participou da aula | valor=4926
linha=1384 | nome=Igor | acao=fez um experimento | valor=9779
linha=1385 | nome=Paulo | acao=escreveu o relatorio | valor=6870
linha=1386 | nome=Gabriela | acao=participou da aula | valor=6346
linha=1387 | nome=Bruno | acao=executou o benchmark | valor=6521
linha=1388 | nome=Lucas | acao=fez um experimento | valor=5454
linha=1389 | nome=Bruno | acao=fez um experimento | valor=8597
linha=1390 | nome=Lucas | acao=fez um experimento | valor=1929
linha=1391 | nome=Natalia | acao=estudou computacao | valor=3284
linha=1392 | nome=Igor | acao=otimizou o algoritmo | valor=1631
linha=1393 | nome=Helena | acao=escreveu o relatorio | valor=8226
linha=1394 | nome=Natalia | acao=escreveu o relatorio | valor=8600
linha=1395 | nome=Mariana | acao=escreveu o relatorio | valor=2018
linha=1396 | nome=Carlos | acao=otimizou o algoritmo | valor=4106
linha=1397 | nome=Carlos | acao=fez um experimento | valor=4682
linha=1398 | nome=Lucas | acao=analisou os resultados | valor=4995
linha=1399 | nome=Bruno | acao=otimizou o algoritmo | valor=9641
linha=1400 | nome=Carlos | acao=estudou computacao | valor=2361
linha=1401 | nome=Bruno | acao=analisou os resultados | valor=8561
linha=1402 | nome=Karen | acao=executou o benchmark | valor=9124
linha=1403 | nome=Gabriela | acao=comparou as metricas | valor=5902
linha=1404 | nome=Helena | acao=comparou as metricas | valor=2073
linha=1405 | nome=Mariana | acao=participou da aula | valor=4630
linha=1406 | nome=Paulo | acao=executou o benchmark | valor=8934
linha=1407 | nome=Ana | acao=comparou as metricas | valor=4124
linha=1408 | nome=Sofia | acao=estudou computacao | valor=3330
linha=1409 | nome=Carlos | acao=escreveu o relatorio | valor=9463
linha=1410 | nome=Karen | acao=fez um experimento | valor=7329
linha=1411 | nome=Vitor | acao=analisou os resultados | valor=8329
linha=1412 | nome=Helena | acao=otimizou o algoritmo | valor=3605
linha=1413 | nome=Mariana | acao=escreveu o relatorio | valor=9387
linha=1414 | nome=Eduarda | acao=fez um experimento | valor=4878
linha=1415 | nome=Bruno | acao=executou o benchmark | valor=4086
linha=1416 | nome=Carlos | acao=estudou computacao | valor=3034
linha=1417 | nome=Helena | acao=comparou as metricas | valor=7115
linha=1418 | nome=Helena | acao=escreveu o relatorio | valor=4235
linha=1419 | nome=Tiago | acao=escreveu o relatorio | valor=8910
linha=1420 | nome=Felipe | acao=otimizou o algoritmo | valor=3533
linha=1421 | nome=Tiago | acao=analisou os resultados | valor=9064
linha=1422 | nome=Felipe | acao=participou da aula | valor=6804
linha=1423 | nome=Paulo | acao=escreveu o relatorio | valor=7418
linha=1424 | nome=Daniela | acao=executou o benchmark | valor=6174
linha=1425 | nome=Karen | acao=comparou as metricas | valor=2000
linha=1426 | nome=Igor | acao=analisou os resultados | valor=2316
linha=1427 | nome=Mariana | acao=estudou computacao | valor=9132
linha=1428 | nome=Joao | acao=escreveu o relatorio | valor=8859
linha=1429 | nome=Ana | acao=estudou computacao | valor=1477
linha=1430 | nome=Paulo | acao=executou o benchmark | valor=5561
linha=1431 | nome=Karen | acao=otimizou o algoritmo | valor=8163
linha=1432 | nome=Otavio | acao=analisou os resultados | valor=4883
linha=1433 | nome=Bruno | acao=estudou computacao | valor=2736
linha=1434 | nome=Sofia | acao=estudou computacao | valor=4596
linha=1435 | nome=Paulo | acao=fez um experimento | valor=8441
linha=1436 | nome=Natalia | acao=comparou as metricas | valor=6070
linha=1437 | nome=Mariana | acao=comparou as metricas | valor=4179
linha=1438 | nome=Helena | acao=analisou os resultados | valor=2480
linha=1439 | nome=Paulo | acao=estudou computacao | valor=9107
linha=1440 | nome=Natalia | acao=estudou computacao | valor=9105
linha=1441 | nome=Igor | acao=fez um experimento | valor=4785
linha=1442 | nome=Helena | acao=executou o benchmark | valor=9867
linha=1443 | nome=Tiago | acao=participou da aula | valor=5936
linha=1444 | nome=Ana | acao=estudou computacao | valor=5029
linha=1445 | nome=Daniela | acao=executou o benchmark | valor=1566
linha=1446 | nome=Helena | acao=comparou as metricas | valor=9027
linha=1447 | nome=Gabriela | acao=participou da aula | valor=9835
linha=1448 | nome=Joao | acao=fez um experimento | valor=4553
linha=1449 | nome=Ana | acao=executou o benchmark | valor=5456
linha=1450 | nome=Renata | acao=executou o benchmark | valor=6016
linha=1451 | nome=Paulo | acao=analisou os resultados | valor=9241
linha=1452 | nome=Daniela | acao=analisou os resultados | valor=4272
linha=1453 | nome=Karen | acao=analisou os resultados | valor=9142
linha=1454 | nome=Tiago | acao=otimizou o algoritmo | valor=4999
linha=1455 | nome=Joao | acao=fez um experimento | valor=5757
linha=1456 | nome=Karen | acao=fez um experimento | valor=5754
linha=1457 | nome=Joao | acao=comparou as metricas | valor=5235
linha=1458 | nome=Karen | acao=escreveu o relatorio | valor=9738
linha=1459 | nome=Sofia | acao=fez um experimento | valor=9125
linha=1460 | nome=Otavio | acao=otimizou o algoritmo | valor=9095
linha=1461 | nome=Lucas | acao=otimizou o algoritmo | valor=1411
linha=1462 | nome=Felipe | acao=participou da aula | valor=5427
linha=1463 | nome=Mariana | acao=otimizou o algoritmo | valor=1346
linha=1464 | nome=Joao | acao=fez um experimento | valor=9355
linha=1465 | nome=Joao | acao=executou o benchmark | valor=7132
linha=1466 | nome=Bruno | acao=analisou os resultados | valor=6586
linha=1467 | nome=Eduarda | acao=estudou computacao | valor=7052
linha=1468 | nome=Ana | acao=escreveu o relatorio | valor=5982
linha=1469 | nome=Eduarda | acao=analisou os resultados | valor=7310
linha=1470 | nome=Igor | acao=estudou computacao | valor=9763
linha=1471 | nome=Lucas | acao=participou da aula | valor=1337
linha=1472 | nome=Tiago | acao=fez um experimento | valor=7525
linha=1473 | nome=Mariana | acao=otimizou o algoritmo | valor=1795
linha=1474 | nome=Eduarda | acao=analisou os resultados | valor=8820
linha=1475 | nome=Karen | acao=analisou os resultados | valor=8624
linha=1476 | nome=Otavio | acao=escreveu o relatorio | valor=2089
linha=1477 | nome=Igor | acao=analisou os resultados | valor=2942
linha=1478 | nome=Lucas | acao=fez um experimento | valor=7689
linha=1479 | nome=Mariana | acao=comparou as metricas | valor=7622
linha=1480 | nome=Daniela | acao=estudou computacao | valor=7155
linha=1481 | nome=Vitor | acao=estudou computacao | valor=7541
linha=1482 | nome=Carlos | acao=fez um experimento | valor=4971
linha=1483 | nome=Gabriela | acao=fez um experimento | valor=3254
linha=1484 | nome=Paulo | acao=executou o benchmark | valor=3275
linha=1485 | nome=Otavio | acao=executou o benchmark | valor=7226
linha=1486 | nome=Mariana | acao=executou o benchmark | valor=5226
linha=1487 | nome=Lucas | acao=executou o benchmark | valor=9237
linha=1488 | nome=Gabriela | acao=estudou computacao | valor=5320
linha=1489 | nome=Felipe | acao=fez um experimento | valor=2005
linha=1490 | nome=Bruno | acao=estudou computacao | valor=9123
linha=1491 | nome=Renata | acao=executou o benchmark | valor=1315
linha=1492 | nome=Ana | acao=estudou computacao | valor=5281
linha=1493 | nome=Helena | acao=executou o benchmark | valor=9933
linha=1494 | nome=Igor | acao=estudou computacao | valor=3612
linha=1495 | nome=Otavio | acao=estudou computacao | valor=1464
linha=1496 | nome=Ana | acao=participou da aula | valor=7763
linha=1497 | nome=Mariana | acao=participou da aula | valor=8543
linha=1498 | nome=Vitor | acao=escreveu o relatorio | valor=5770
linha=1499 | nome=Lucas | acao=comparou as metricas | valor=1356
linha=1500 | nome=Igor | acao=participou da aula | valor=1540
linha=1501 | nome=Joao | acao=comparou as metricas | valor=2213
linha=1502 | nome=Vitor | acao=executou o benchmark | valor=7916
linha=1503 | nome=Joao | acao=executou o benchmark | valor=1012
linha=1504 | nome=Otavio | acao=otimizou o algoritmo | valor=7262
linha=1505 | nome=Otavio | acao=executou o benchmark | valor=7451
linha=1506 | nome=Paulo | acao=otimizou o algoritmo | valor=1189
linha=1507 | nome=Carlos | acao=executou o benchmark | valor=4907
linha=1508 | nome=Daniela | acao=fez um experimento | valor=8647
linha=1509 | nome=Karen | acao=otimizou o algoritmo | valor=7079
linha=1510 | nome=Mariana | acao=estudou computacao | valor=6197
linha=1511 | nome=Gabriela | acao=estudou computacao | valor=8943
linha=1512 | nome=Ana | acao=fez um experimento | valor=7801
linha=1513 | nome=Paulo | acao=otimizou o algoritmo | valor=1057
linha=1514 | nome=Karen | acao=executou o benchmark | valor=3854
linha=1515 | nome=Paulo | acao=comparou as metricas | valor=3503
linha=1516 | nome=Otavio | acao=estudou computacao | valor=2515
linha=1517 | nome=Helena | acao=comparou as metricas | valor=1481
linha=1518 | nome=Natalia | acao=comparou as metricas | valor=3003
linha=1519 | nome=Renata | acao=escreveu o relatorio | valor=6890
linha=1520 | nome=Vitor | acao=executou o benchmark | valor=2664
linha=1521 | nome=Tiago | acao=escreveu o relatorio | valor=4113
linha=1522 | nome=Karen | acao=executou o benchmark | valor=6252
linha=1523 | nome=Ana | acao=participou da aula | valor=4042
linha=1524 | nome=Karen | acao=executou o benchmark | valor=7753
linha=1525 | nome=Karen | acao=executou o benchmark | valor=9472
linha=1526 | nome=Karen | acao=estudou computacao | valor=8953
linha=1527 | nome=Igor | acao=executou o benchmark | valor=4738
linha=1528 | nome=Renata | acao=executou o benchmark | valor=4869
linha=1529 | nome=Lucas | acao=analisou os resultados | valor=9481
linha=1530 | nome=Ana | acao=executou o benchmark | valor=4049
linha=1531 | nome=Igor | acao=analisou os resultados | valor=2946
linha=1532 | nome=Paulo | acao=otimizou o algoritmo | valor=9957
linha=1533 | nome=Vitor | acao=escreveu o relatorio | valor=2933
linha=1534 | nome=Eduarda | acao=comparou as metricas | valor=9294
linha=1535 | nome=Gabriela | acao=comparou as metricas | valor=3854
linha=1536 | nome=Mariana | acao=escreveu o relatorio | valor=9574
linha=1537 | nome=Felipe | acao=participou da aula | valor=7197
linha=1538 | nome=Bruno | acao=comparou as metricas | valor=2103
linha=1539 | nome=Joao | acao=comparou as metricas | valor=8605
linha=1540 | nome=Natalia | acao=comparou as metricas | valor=3759
linha=1541 | nome=Daniela | acao=fez um experimento | valor=6714
linha=1542 | nome=Vitor | acao=escreveu o relatorio | valor=6577
linha=1543 | nome=Daniela | acao=escreveu o relatorio | valor=1022
linha=1544 | nome=Paulo | acao=comparou as metricas | valor=8634
linha=1545 | nome=Mariana | acao=participou da aula | valor=9125
linha=1546 | nome=Helena | acao=estudou computacao | valor=4985
linha=1547 | nome=Otavio | acao=comparou as metricas | valor=5956
linha=1548 | nome=Felipe | acao=analisou os resultados | valor=8614
linha=1549 | nome=Daniela | acao=executou o benchmark | valor=7090
linha=1550 | nome=Joao | acao=fez um experimento | valor=5771
linha=1551 | nome=Paulo | acao=otimizou o algoritmo | valor=6940
linha=1552 | nome=Joao | acao=comparou as metricas | valor=5451
linha=1553 | nome=Daniela | acao=analisou os resultados | valor=4366
linha=1554 | nome=Sofia | acao=estudou computacao | valor=9979
linha=1555 | nome=Joao | acao=escreveu o relatorio | valor=2239
linha=1556 | nome=Felipe | acao=fez um experimento | valor=3312
linha=1557 | nome=Bruno | acao=executou o benchmark | valor=4462
linha=1558 | nome=Paulo | acao=escreveu o relatorio | valor=1333
linha=1559 | nome=Bruno | acao=participou da aula | valor=9442
linha=1560 | nome=Carlos | acao=otimizou o algoritmo | valor=7985
linha=1561 | nome=Vitor | acao=executou o benchmark | valor=6233
linha=1562 | nome=Paulo | acao=estudou computacao | valor=6706
linha=1563 | nome=Helena | acao=escreveu o relatorio | valor=6014
linha=1564 | nome=Gabriela | acao=analisou os resultados | valor=8519
linha=1565 | nome=Bruno | acao=estudou computacao | valor=5152
linha=1566 | nome=Lucas | acao=otimizou o algoritmo | valor=8591
linha=1567 | nome=Sofia | acao=estudou computacao | valor=9080
linha=1568 | nome=Karen | acao=fez um experimento | valor=7987
linha=1569 | nome=Felipe | acao=comparou as metricas | valor=4957
linha=1570 | nome=Paulo | acao=participou da aula | valor=7592
linha=1571 | nome=Daniela | acao=fez um experimento | valor=5261
linha=1572 | nome=Tiago | acao=estudou computacao | valor=8044
linha=1573 | nome=Helena | acao=estudou computacao | valor=9591
linha=1574 | nome=Eduarda | acao=comparou as metricas | valor=2955
linha=1575 | nome=Bruno | acao=estudou computacao | valor=1606
linha=1576 | nome=Mariana | acao=comparou as metricas | valor=4264
linha=1577 | nome=Paulo | acao=comparou as metricas | valor=7470
linha=1578 | nome=Ana | acao=estudou computacao | valor=1571
linha=1579 | nome=Eduarda | acao=analisou os resultados | valor=2676
linha=1580 | nome=Tiago | acao=estudou computacao | valor=1112
linha=1581 | nome=Lucas | acao=comparou as metricas | valor=8441
linha=1582 | nome=Ana | acao=otimizou o algoritmo | valor=9679
linha=1583 | nome=Joao | acao=estudou computacao | valor=9483
linha=1584 | nome=Ana | acao=fez um experimento | valor=9783
linha=1585 | nome=Daniela | acao=escreveu o relatorio | valor=4275
linha=1586 | nome=Gabriela | acao=analisou os resultados | valor=4218
linha=1587 | nome=Mariana | acao=estudou computacao | valor=7947
linha=1588 | nome=Lucas | acao=participou da aula | valor=3299
linha=1589 | nome=Lucas | acao=escreveu o relatorio | valor=8965
linha=1590 | nome=Vitor | acao=analisou os resultados | valor=6956
linha=1591 | nome=Joao | acao=analisou os resultados | valor=3324
linha=1592 | nome=Carlos | acao=otimizou o algoritmo | valor=6218
linha=1593 | nome=Paulo | acao=participou da aula | valor=7916
linha=1594 | nome=Renata | acao=executou o benchmark | valor=9433
linha=1595 | nome=Paulo | acao=participou da aula | valor=4403
linha=1596 | nome=Bruno | acao=escreveu o relatorio | valor=7272
linha=1597 | nome=Vitor | acao=executou o benchmark | valor=2279
linha=1598 | nome=Helena | acao=executou o benchmark | valor=9247
linha=1599 | nome=Vitor | acao=fez um experimento | valor=2033
linha=1600 | nome=Daniela | acao=participou da aula | valor=6734
linha=1601 | nome=Vitor | acao=escreveu o relatorio | valor=1517
linha=1602 | nome=Ana | acao=otimizou o algoritmo | valor=6708
